CensusYear,Industry,County,WorkingPopulation,Population,MeanIncome,pctIndustryEmployement
2016,"Mining, quarrying and turf production",Sligo,32.0,65535.0,37071.0,0.04882887006942855
2011,"Mining, quarrying and turf production",Cavan,122.0,73183.0,34489.0,0.16670538239755134
2016,"Mining, quarrying and turf production",Cavan,133.0,76176.0,35327.0,0.1745956731779038
2011,"Mining, quarrying and turf production",Donegal,195.0,161137.0,31776.0,0.12101503689407152
2016,"Mining, quarrying and turf production",Donegal,187.0,159192.0,31683.0,0.11746821448313986
2011,"Mining, quarrying and turf production",Monaghan,72.0,60483.0,32502.0,0.11904171420068449
2016,"Mining, quarrying and turf production",Monaghan,87.0,61386.0,32297.0,0.14172612647835012
2011,Manufacturing industries,Carlow,2237.0,54612.0,34815.0,4.096169340071779
2016,Manufacturing industries,Carlow,2643.0,56932.0,35234.0,4.642380383615541
2011,Manufacturing industries,Dublin,36790.0,1273069.0,44243.0,2.8898669278727236
2016,Manufacturing industries,Dublin,33317.0,1347359.0,46976.0,2.4727633837752223
2011,Manufacturing industries,Kildare,9717.0,210312.0,42084.0,4.620278443455438
2016,Manufacturing industries,Kildare,9784.0,222504.0,44092.0,4.3972243195627945
2011,Manufacturing industries,Kilkenny,4020.0,95419.0,36856.0,4.212997411417013
2016,Manufacturing industries,Kilkenny,4348.0,99232.0,37338.0,4.381651080296678
2011,Manufacturing industries,Laois,2742.0,80559.0,37253.0,3.4037165307414443
2016,Manufacturing industries,Laois,2756.0,84697.0,37703.0,3.253952324167326
2011,Manufacturing industries,Longford,1867.0,39000.0,33473.0,4.787179487179487
2016,Manufacturing industries,Longford,2237.0,40873.0,34144.0,5.473050669145891
2011,Manufacturing industries,Louth,4942.0,122897.0,36209.0,4.021253570062735
2016,Manufacturing industries,Louth,5226.0,128884.0,37147.0,4.054808975512865
2011,Manufacturing industries,Meath,7497.0,184135.0,41083.0,4.071469302413989
2016,Manufacturing industries,Meath,7694.0,195044.0,42755.0,3.944750927995734
2011,Manufacturing industries,Offaly,3661.0,76687.0,35380.0,4.773951256405909
2016,Manufacturing industries,Offaly,4134.0,77961.0,35901.0,5.302651325662831
2011,Manufacturing industries,Westmeath,3970.0,86164.0,37076.0,4.607492688361728
2016,Manufacturing industries,Westmeath,4085.0,88770.0,37856.0,4.601779880590289
2011,Manufacturing industries,Wexford,5557.0,145320.0,33672.0,3.823974676575833
2016,Manufacturing industries,Wexford,6323.0,149722.0,34430.0,4.223160257009658
2011,Manufacturing industries,Wicklow,5259.0,136640.0,41725.0,3.848799765807963
2016,Manufacturing industries,Wicklow,4920.0,142425.0,43075.0,3.454449710373881
2011,Manufacturing industries,Clare,6473.0,117196.0,38592.0,5.523226048670603
2016,Manufacturing industries,Clare,6888.0,118817.0,39716.0,5.797150239443851
2011,Manufacturing industries,Cork,29827.0,519032.0,39169.0,5.746659165523512
2016,Manufacturing industries,Cork,33010.0,542868.0,41122.0,6.080667860327004
2011,Manufacturing industries,Kerry,5237.0,145502.0,34455.0,3.59926324036783
2016,Manufacturing industries,Kerry,5782.0,147707.0,34700.0,3.9145064214966117
2011,Manufacturing industries,Limerick,10158.0,191809.0,38156.0,5.295893310532874
2016,Manufacturing industries,Limerick,10575.0,194899.0,39464.0,5.425887254424086
2011,Manufacturing industries,Tipperary,8425.0,158754.0,35722.0,5.30695289567507
2016,Manufacturing industries,Tipperary,8691.0,159553.0,36390.0,5.447092815553453
2011,Manufacturing industries,Waterford,6819.0,113795.0,36959.0,5.9923546728766635
2016,Manufacturing industries,Waterford,7056.0,116176.0,37279.0,6.073543589037323
2011,Manufacturing industries,Galway,13678.0,250653.0,37499.0,5.456946455857301
2016,Manufacturing industries,Galway,15855.0,258058.0,39042.0,6.143967635182788
2011,Manufacturing industries,Leitrim,1032.0,31798.0,34461.0,3.245487137555821
2016,Manufacturing industries,Leitrim,1268.0,32044.0,34848.0,3.957059043814755
2011,Manufacturing industries,Mayo,5838.0,130638.0,34117.0,4.468837551095393
2016,Manufacturing industries,Mayo,6501.0,130507.0,35036.0,4.981341996981005
2011,Manufacturing industries,Roscommon,2506.0,64065.0,35515.0,3.9116522282057287
2016,Manufacturing industries,Roscommon,2803.0,64544.0,36199.0,4.342773921665841
2011,Manufacturing industries,Sligo,3047.0,65393.0,36340.0,4.659520132124233
2016,Manufacturing industries,Sligo,3003.0,65535.0,37071.0,4.582284275577935
2011,Manufacturing industries,Cavan,3928.0,73183.0,34489.0,5.3673667381769
2016,Manufacturing industries,Cavan,4548.0,76176.0,35327.0,5.970384373030876
2011,Manufacturing industries,Donegal,4537.0,161137.0,31776.0,2.8156165250687306
2016,Manufacturing industries,Donegal,4552.0,159192.0,31683.0,2.859440172873009
2011,Manufacturing industries,Monaghan,3316.0,60483.0,32502.0,5.482532281798191
2016,Manufacturing industries,Monaghan,3316.0,61386.0,32297.0,5.401883165542632
2011,"Electricity, gas and water supply",Carlow,89.0,54612.0,34815.0,0.16296784589467517
2016,"Electricity, gas and water supply",Carlow,166.0,56932.0,35234.0,0.29157591512681796
2011,"Electricity, gas and water supply",Dublin,4257.0,1273069.0,44243.0,0.3343887880389829
2016,"Electricity, gas and water supply",Dublin,6795.0,1347359.0,46976.0,0.5043199325495283
2011,"Electricity, gas and water supply",Kildare,636.0,210312.0,42084.0,0.30240785119251395
2016,"Electricity, gas and water supply",Kildare,1171.0,222504.0,44092.0,0.5262826735699133
2011,"Electricity, gas and water supply",Kilkenny,209.0,95419.0,36856.0,0.2190339450214318
2016,"Electricity, gas and water supply",Kilkenny,469.0,99232.0,37338.0,0.4726297968397291
2011,"Electricity, gas and water supply",Laois,262.0,80559.0,37253.0,0.3252274730321876
2016,"Electricity, gas and water supply",Laois,480.0,84697.0,37703.0,0.5667260941945995
2011,"Electricity, gas and water supply",Longford,93.0,39000.0,33473.0,0.23846153846153847
2016,"Electricity, gas and water supply",Longford,195.0,40873.0,34144.0,0.4770875639175005
2011,"Electricity, gas and water supply",Louth,308.0,122897.0,36209.0,0.2506163698056096
