"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"All households","Dún Laoghaire-Rathdown","1971","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1971","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1979","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1979","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1981","Number of Households","Number",""
"All households","Dún Laoghaire-Rathdown","1981","Number of Persons Resident","Number",""
"All households","Dún Laoghaire-Rathdown","1986","Number of Households","Number","51018"
"All households","Dún Laoghaire-Rathdown","1986","Number of Persons Resident","Number","180675"
"All households","Dún Laoghaire-Rathdown","1991","Number of Households","Number","56531"
"All households","Dún Laoghaire-Rathdown","1991","Number of Persons Resident","Number","185410"
"All households","Dún Laoghaire-Rathdown","1996","Number of Households","Number","61649"
"All households","Dún Laoghaire-Rathdown","1996","Number of Persons Resident","Number","189999"
"All households","Dún Laoghaire-Rathdown","2002","Number of Households","Number","64299"
"All households","Dún Laoghaire-Rathdown","2002","Number of Persons Resident","Number","191102"
"All households","Dún Laoghaire-Rathdown","2006","Number of Households","Number","68560"
"All households","Dún Laoghaire-Rathdown","2006","Number of Persons Resident","Number","193865"
"All households","Dún Laoghaire-Rathdown","2011","Number of Households","Number","75953"
"All households","Dún Laoghaire-Rathdown","2011","Number of Persons Resident","Number","206773"
"All households","Dún Laoghaire-Rathdown","2016","Number of Households","Number","78762"
"All households","Dún Laoghaire-Rathdown","2016","Number of Persons Resident","Number","218619"
"All households","Fingal","1926","Number of Households","Number",""
"All households","Fingal","1926","Number of Persons Resident","Number",""
"All households","Fingal","1936","Number of Households","Number",""
"All households","Fingal","1936","Number of Persons Resident","Number",""
"All households","Fingal","1946","Number of Households","Number",""
"All households","Fingal","1946","Number of Persons Resident","Number",""
"All households","Fingal","1961","Number of Households","Number",""
"All households","Fingal","1961","Number of Persons Resident","Number",""
"All households","Fingal","1966","Number of Households","Number",""
"All households","Fingal","1966","Number of Persons Resident","Number",""
"All households","Fingal","1971","Number of Households","Number",""
"All households","Fingal","1971","Number of Persons Resident","Number",""
"All households","Fingal","1979","Number of Households","Number",""
"All households","Fingal","1979","Number of Persons Resident","Number",""
"All households","Fingal","1981","Number of Households","Number",""
"All households","Fingal","1981","Number of Persons Resident","Number",""
"All households","Fingal","1986","Number of Households","Number","35556"
"All households","Fingal","1986","Number of Persons Resident","Number","138479"
"All households","Fingal","1991","Number of Households","Number","40777"
"All households","Fingal","1991","Number of Persons Resident","Number","152766"
"All households","Fingal","1996","Number of Households","Number","47721"
"All households","Fingal","1996","Number of Persons Resident","Number","167683"
"All households","Fingal","2002","Number of Households","Number","60999"
"All households","Fingal","2002","Number of Persons Resident","Number","197036"
"All households","Fingal","2006","Number of Households","Number","80540"
"All households","Fingal","2006","Number of Persons Resident","Number","240976"
"All households","Fingal","2011","Number of Households","Number","93305"
"All households","Fingal","2011","Number of Persons Resident","Number","276563"
"All households","Fingal","2016","Number of Households","Number","96971"
"All households","Fingal","2016","Number of Persons Resident","Number","299036"
"All households","South Dublin","1926","Number of Households","Number",""
"All households","South Dublin","1926","Number of Persons Resident","Number",""
"All households","South Dublin","1936","Number of Households","Number",""
"All households","South Dublin","1936","Number of Persons Resident","Number",""
"All households","South Dublin","1946","Number of Households","Number",""
"All households","South Dublin","1946","Number of Persons Resident","Number",""
"All households","South Dublin","1961","Number of Households","Number",""
"All households","South Dublin","1961","Number of Persons Resident","Number",""
"All households","South Dublin","1966","Number of Households","Number",""
"All households","South Dublin","1966","Number of Persons Resident","Number",""
"All households","South Dublin","1971","Number of Households","Number",""
"All households","South Dublin","1971","Number of Persons Resident","Number",""
"All households","South Dublin","1979","Number of Households","Number",""
"All households","South Dublin","1979","Number of Persons Resident","Number",""
"All households","South Dublin","1981","Number of Households","Number",""
