"Type of Private Accommodation","Province County or City","CensusYear","Statistic Label","UNIT","VALUE"
"Temporary private","Kilkenny","2002","Number of Persons Resident","Number","425"
"Temporary private","Kilkenny","2006","Number of Households","Number","173"
"Temporary private","Kilkenny","2006","Number of Persons Resident","Number","422"
"Temporary private","Kilkenny","2011","Number of Households","Number","96"
"Temporary private","Kilkenny","2011","Number of Persons Resident","Number","221"
"Temporary private","Kilkenny","2016","Number of Households","Number","112"
"Temporary private","Kilkenny","2016","Number of Persons Resident","Number","260"
"Temporary private","Laois","1926","Number of Households","Number",""
"Temporary private","Laois","1926","Number of Persons Resident","Number",""
"Temporary private","Laois","1936","Number of Households","Number",""
"Temporary private","Laois","1936","Number of Persons Resident","Number",""
"Temporary private","Laois","1946","Number of Households","Number",""
"Temporary private","Laois","1946","Number of Persons Resident","Number",""
"Temporary private","Laois","1961","Number of Households","Number",""
"Temporary private","Laois","1961","Number of Persons Resident","Number",""
"Temporary private","Laois","1966","Number of Households","Number",""
"Temporary private","Laois","1966","Number of Persons Resident","Number",""
"Temporary private","Laois","1971","Number of Households","Number","42"
"Temporary private","Laois","1971","Number of Persons Resident","Number","135"
"Temporary private","Laois","1979","Number of Households","Number","180"
"Temporary private","Laois","1979","Number of Persons Resident","Number","525"
"Temporary private","Laois","1981","Number of Households","Number","332"
"Temporary private","Laois","1981","Number of Persons Resident","Number","912"
"Temporary private","Laois","1986","Number of Households","Number","258"
"Temporary private","Laois","1986","Number of Persons Resident","Number","565"
"Temporary private","Laois","1991","Number of Households","Number","264"
"Temporary private","Laois","1991","Number of Persons Resident","Number","725"
"Temporary private","Laois","1996","Number of Households","Number","201"
"Temporary private","Laois","1996","Number of Persons Resident","Number","579"
"Temporary private","Laois","2002","Number of Households","Number","219"
"Temporary private","Laois","2002","Number of Persons Resident","Number","535"
"Temporary private","Laois","2006","Number of Households","Number","170"
"Temporary private","Laois","2006","Number of Persons Resident","Number","350"
"Temporary private","Laois","2011","Number of Households","Number","104"
"Temporary private","Laois","2011","Number of Persons Resident","Number","187"
"Temporary private","Laois","2016","Number of Households","Number","110"
"Temporary private","Laois","2016","Number of Persons Resident","Number","224"
"Temporary private","Longford","1926","Number of Households","Number",""
"Temporary private","Longford","1926","Number of Persons Resident","Number",""
"Temporary private","Longford","1936","Number of Households","Number",""
"Temporary private","Longford","1936","Number of Persons Resident","Number",""
"Temporary private","Longford","1946","Number of Households","Number",""
"Temporary private","Longford","1946","Number of Persons Resident","Number",""
"Temporary private","Longford","1961","Number of Households","Number",""
"Temporary private","Longford","1961","Number of Persons Resident","Number",""
"Temporary private","Longford","1966","Number of Households","Number",""
"Temporary private","Longford","1966","Number of Persons Resident","Number",""
"Temporary private","Longford","1971","Number of Households","Number","38"
"Temporary private","Longford","1971","Number of Persons Resident","Number","174"
"Temporary private","Longford","1979","Number of Households","Number","135"
"Temporary private","Longford","1979","Number of Persons Resident","Number","370"
"Temporary private","Longford","1981","Number of Households","Number","172"
"Temporary private","Longford","1981","Number of Persons Resident","Number","465"
"Temporary private","Longford","1986","Number of Households","Number","154"
"Temporary private","Longford","1986","Number of Persons Resident","Number","334"
"Temporary private","Longford","1991","Number of Households","Number","95"
"Temporary private","Longford","1991","Number of Persons Resident","Number","216"
"Temporary private","Longford","1996","Number of Households","Number","56"
"Temporary private","Longford","1996","Number of Persons Resident","Number","143"
"Temporary private","Longford","2002","Number of Households","Number","77"
"Temporary private","Longford","2002","Number of Persons Resident","Number","168"
"Temporary private","Longford","2006","Number of Households","Number","69"
"Temporary private","Longford","2006","Number of Persons Resident","Number","131"
"Temporary private","Longford","2011","Number of Households","Number","43"
"Temporary private","Longford","2011","Number of Persons Resident","Number","83"
"Temporary private","Longford","2016","Number of Households","Number","30"
"Temporary private","Longford","2016","Number of Persons Resident","Number","60"
"Temporary private","Louth","1926","Number of Households","Number",""
"Temporary private","Louth","1926","Number of Persons Resident","Number",""
"Temporary private","Louth","1936","Number of Households","Number",""
"Temporary private","Louth","1936","Number of Persons Resident","Number",""
"Temporary private","Louth","1946","Number of Households","Number",""
"Temporary private","Louth","1946","Number of Persons Resident","Number",""
"Temporary private","Louth","1961","Number of Households","Number",""
"Temporary private","Louth","1961","Number of Persons Resident","Number",""
"Temporary private","Louth","1966","Number of Households","Number",""
"Temporary private","Louth","1966","Number of Persons Resident","Number",""
"Temporary private","Louth","1971","Number of Households","Number","102"
"Temporary private","Louth","1971","Number of Persons Resident","Number","304"
"Temporary private","Louth","1979","Number of Households","Number","238"
"Temporary private","Louth","1979","Number of Persons Resident","Number","639"
"Temporary private","Louth","1981","Number of Households","Number","313"
"Temporary private","Louth","1981","Number of Persons Resident","Number","841"
"Temporary private","Louth","1986","Number of Households","Number","241"
"Temporary private","Louth","1986","Number of Persons Resident","Number","599"
"Temporary private","Louth","1991","Number of Households","Number","188"
"Temporary private","Louth","1991","Number of Persons Resident","Number","534"
"Temporary private","Louth","1996","Number of Households","Number","172"
"Temporary private","Louth","1996","Number of Persons Resident","Number","485"
"Temporary private","Louth","2002","Number of Households","Number","142"
"Temporary private","Louth","2002","Number of Persons Resident","Number","366"
"Temporary private","Louth","2006","Number of Households","Number","105"
"Temporary private","Louth","2006","Number of Persons Resident","Number","211"
"Temporary private","Louth","2011","Number of Households","Number","75"
"Temporary private","Louth","2011","Number of Persons Resident","Number","124"
"Temporary private","Louth","2016","Number of Households","Number","85"
"Temporary private","Louth","2016","Number of Persons Resident","Number","185"
"Temporary private","Meath","1926","Number of Households","Number",""
"Temporary private","Meath","1926","Number of Persons Resident","Number",""
"Temporary private","Meath","1936","Number of Households","Number",""
"Temporary private","Meath","1936","Number of Persons Resident","Number",""
"Temporary private","Meath","1946","Number of Households","Number",""
"Temporary private","Meath","1946","Number of Persons Resident","Number",""
"Temporary private","Meath","1961","Number of Households","Number",""
"Temporary private","Meath","1961","Number of Persons Resident","Number",""
"Temporary private","Meath","1966","Number of Households","Number",""
"Temporary private","Meath","1966","Number of Persons Resident","Number",""
"Temporary private","Meath","1971","Number of Households","Number","152"
"Temporary private","Meath","1971","Number of Persons Resident","Number","517"
"Temporary private","Meath","1979","Number of Households","Number","318"
"Temporary private","Meath","1979","Number of Persons Resident","Number","883"
"Temporary private","Meath","1981","Number of Households","Number","496"
"Temporary private","Meath","1981","Number of Persons Resident","Number","1534"
"Temporary private","Meath","1986","Number of Households","Number","324"
"Temporary private","Meath","1986","Number of Persons Resident","Number","850"
"Temporary private","Meath","1991","Number of Households","Number","210"
"Temporary private","Meath","1991","Number of Persons Resident","Number","607"
"Temporary private","Meath","1996","Number of Households","Number","206"
"Temporary private","Meath","1996","Number of Persons Resident","Number","576"
"Temporary private","Meath","2002","Number of Households","Number","340"
"Temporary private","Meath","2002","Number of Persons Resident","Number","805"
"Temporary private","Meath","2006","Number of Households","Number","363"
"Temporary private","Meath","2006","Number of Persons Resident","Number","745"
"Temporary private","Meath","2011","Number of Households","Number","279"
"Temporary private","Meath","2011","Number of Persons Resident","Number","530"
"Temporary private","Meath","2016","Number of Households","Number","373"
"Temporary private","Meath","2016","Number of Persons Resident","Number","673"
"Temporary private","Offaly","1926","Number of Households","Number",""
"Temporary private","Offaly","1926","Number of Persons Resident","Number",""
"Temporary private","Offaly","1936","Number of Households","Number",""
"Temporary private","Offaly","1936","Number of Persons Resident","Number",""
"Temporary private","Offaly","1946","Number of Households","Number",""
"Temporary private","Offaly","1946","Number of Persons Resident","Number",""
"Temporary private","Offaly","1961","Number of Households","Number",""
"Temporary private","Offaly","1961","Number of Persons Resident","Number",""
"Temporary private","Offaly","1966","Number of Households","Number",""
"Temporary private","Offaly","1966","Number of Persons Resident","Number",""
"Temporary private","Offaly","1971","Number of Households","Number","77"
"Temporary private","Offaly","1971","Number of Persons Resident","Number","280"
"Temporary private","Offaly","1979","Number of Households","Number","265"
"Temporary private","Offaly","1979","Number of Persons Resident","Number","689"
"Temporary private","Offaly","1981","Number of Households","Number","402"
"Temporary private","Offaly","1981","Number of Persons Resident","Number","1039"
"Temporary private","Offaly","1986","Number of Households","Number","284"
"Temporary private","Offaly","1986","Number of Persons Resident","Number","700"
"Temporary private","Offaly","1991","Number of Households","Number","300"
"Temporary private","Offaly","1991","Number of Persons Resident","Number","823"
"Temporary private","Offaly","1996","Number of Households","Number","280"
"Temporary private","Offaly","1996","Number of Persons Resident","Number","799"
"Temporary private","Offaly","2002","Number of Households","Number","259"
"Temporary private","Offaly","2002","Number of Persons Resident","Number","607"
"Temporary private","Offaly","2006","Number of Households","Number","236"
"Temporary private","Offaly","2006","Number of Persons Resident","Number","562"
"Temporary private","Offaly","2011","Number of Households","Number","207"
"Temporary private","Offaly","2011","Number of Persons Resident","Number","399"
"Temporary private","Offaly","2016","Number of Households","Number","159"
"Temporary private","Offaly","2016","Number of Persons Resident","Number","351"
"Temporary private","Westmeath","1926","Number of Households","Number",""
"Temporary private","Westmeath","1926","Number of Persons Resident","Number",""
"Temporary private","Westmeath","1936","Number of Households","Number",""
"Temporary private","Westmeath","1936","Number of Persons Resident","Number",""
"Temporary private","Westmeath","1946","Number of Households","Number",""
"Temporary private","Westmeath","1946","Number of Persons Resident","Number",""
"Temporary private","Westmeath","1961","Number of Households","Number",""
"Temporary private","Westmeath","1961","Number of Persons Resident","Number",""
"Temporary private","Westmeath","1966","Number of Households","Number",""
"Temporary private","Westmeath","1966","Number of Persons Resident","Number",""
"Temporary private","Westmeath","1971","Number of Households","Number","58"
"Temporary private","Westmeath","1971","Number of Persons Resident","Number","257"
"Temporary private","Westmeath","1979","Number of Households","Number","169"
"Temporary private","Westmeath","1979","Number of Persons Resident","Number","615"
"Temporary private","Westmeath","1981","Number of Households","Number","253"
"Temporary private","Westmeath","1981","Number of Persons Resident","Number","690"
"Temporary private","Westmeath","1986","Number of Households","Number","184"
"Temporary private","Westmeath","1986","Number of Persons Resident","Number","424"
"Temporary private","Westmeath","1991","Number of Households","Number","149"
"Temporary private","Westmeath","1991","Number of Persons Resident","Number","335"
"Temporary private","Westmeath","1996","Number of Households","Number","182"
"Temporary private","Westmeath","1996","Number of Persons Resident","Number","443"
"Temporary private","Westmeath","2002","Number of Households","Number","200"
"Temporary private","Westmeath","2002","Number of Persons Resident","Number","560"
"Temporary private","Westmeath","2006","Number of Households","Number","183"
"Temporary private","Westmeath","2006","Number of Persons Resident","Number","463"
"Temporary private","Westmeath","2011","Number of Households","Number","115"
"Temporary private","Westmeath","2011","Number of Persons Resident","Number","260"
"Temporary private","Westmeath","2016","Number of Households","Number","128"
"Temporary private","Westmeath","2016","Number of Persons Resident","Number","296"
"Temporary private","Wexford","1926","Number of Households","Number",""
"Temporary private","Wexford","1926","Number of Persons Resident","Number",""
"Temporary private","Wexford","1936","Number of Households","Number",""
"Temporary private","Wexford","1936","Number of Persons Resident","Number",""
"Temporary private","Wexford","1946","Number of Households","Number",""
"Temporary private","Wexford","1946","Number of Persons Resident","Number",""
"Temporary private","Wexford","1961","Number of Households","Number",""
"Temporary private","Wexford","1961","Number of Persons Resident","Number",""
"Temporary private","Wexford","1966","Number of Households","Number",""
"Temporary private","Wexford","1966","Number of Persons Resident","Number",""
"Temporary private","Wexford","1971","Number of Households","Number","138"
"Temporary private","Wexford","1971","Number of Persons Resident","Number","461"
"Temporary private","Wexford","1979","Number of Households","Number","519"
"Temporary private","Wexford","1979","Number of Persons Resident","Number","1503"
"Temporary private","Wexford","1981","Number of Households","Number","902"
"Temporary private","Wexford","1981","Number of Persons Resident","Number","2561"
"Temporary private","Wexford","1986","Number of Households","Number","816"
"Temporary private","Wexford","1986","Number of Persons Resident","Number","2164"
"Temporary private","Wexford","1991","Number of Households","Number","659"
"Temporary private","Wexford","1991","Number of Persons Resident","Number","1689"
"Temporary private","Wexford","1996","Number of Households","Number","674"
"Temporary private","Wexford","1996","Number of Persons Resident","Number","1674"
"Temporary private","Wexford","2002","Number of Households","Number","596"
"Temporary private","Wexford","2002","Number of Persons Resident","Number","1397"
"Temporary private","Wexford","2006","Number of Households","Number","470"
"Temporary private","Wexford","2006","Number of Persons Resident","Number","1048"
"Temporary private","Wexford","2011","Number of Households","Number","307"
"Temporary private","Wexford","2011","Number of Persons Resident","Number","550"
"Temporary private","Wexford","2016","Number of Households","Number","283"
"Temporary private","Wexford","2016","Number of Persons Resident","Number","618"
"Temporary private","Wicklow","1926","Number of Households","Number",""
"Temporary private","Wicklow","1926","Number of Persons Resident","Number",""
"Temporary private","Wicklow","1936","Number of Households","Number",""
"Temporary private","Wicklow","1936","Number of Persons Resident","Number",""
"Temporary private","Wicklow","1946","Number of Households","Number",""
"Temporary private","Wicklow","1946","Number of Persons Resident","Number",""
"Temporary private","Wicklow","1961","Number of Households","Number",""
"Temporary private","Wicklow","1961","Number of Persons Resident","Number",""
"Temporary private","Wicklow","1966","Number of Households","Number",""
"Temporary private","Wicklow","1966","Number of Persons Resident","Number",""
"Temporary private","Wicklow","1971","Number of Households","Number","261"
"Temporary private","Wicklow","1971","Number of Persons Resident","Number","792"
"Temporary private","Wicklow","1979","Number of Households","Number","339"
"Temporary private","Wicklow","1979","Number of Persons Resident","Number","830"
"Temporary private","Wicklow","1981","Number of Households","Number","504"
"Temporary private","Wicklow","1981","Number of Persons Resident","Number","1287"
"Temporary private","Wicklow","1986","Number of Households","Number","340"
"Temporary private","Wicklow","1986","Number of Persons Resident","Number","801"
"Temporary private","Wicklow","1991","Number of Households","Number","310"
"Temporary private","Wicklow","1991","Number of Persons Resident","Number","755"
"Temporary private","Wicklow","1996","Number of Households","Number","328"
"Temporary private","Wicklow","1996","Number of Persons Resident","Number","782"
"Temporary private","Wicklow","2002","Number of Households","Number","434"
"Temporary private","Wicklow","2002","Number of Persons Resident","Number","1000"
"Temporary private","Wicklow","2006","Number of Households","Number","398"
"Temporary private","Wicklow","2006","Number of Persons Resident","Number","868"
"Temporary private","Wicklow","2011","Number of Households","Number","219"
"Temporary private","Wicklow","2011","Number of Persons Resident","Number","411"
"Temporary private","Wicklow","2016","Number of Households","Number","206"
"Temporary private","Wicklow","2016","Number of Persons Resident","Number","412"
"Temporary private","Munster","1926","Number of Households","Number",""
"Temporary private","Munster","1926","Number of Persons Resident","Number",""
"Temporary private","Munster","1936","Number of Households","Number",""
"Temporary private","Munster","1936","Number of Persons Resident","Number",""
"Temporary private","Munster","1946","Number of Households","Number",""
"Temporary private","Munster","1946","Number of Persons Resident","Number",""
"Temporary private","Munster","1961","Number of Households","Number",""
"Temporary private","Munster","1961","Number of Persons Resident","Number",""
"Temporary private","Munster","1966","Number of Households","Number",""
"Temporary private","Munster","1966","Number of Persons Resident","Number",""
"Temporary private","Munster","1971","Number of Households","Number","998"
"Temporary private","Munster","1971","Number of Persons Resident","Number","3568"
"Temporary private","Munster","1979","Number of Households","Number","2189"
"Temporary private","Munster","1979","Number of Persons Resident","Number","6193"
"Temporary private","Munster","1981","Number of Households","Number","3896"
"Temporary private","Munster","1981","Number of Persons Resident","Number","10874"
"Temporary private","Munster","1986","Number of Households","Number","2995"
"Temporary private","Munster","1986","Number of Persons Resident","Number","7883"
"Temporary private","Munster","1991","Number of Households","Number","2443"
"Temporary private","Munster","1991","Number of Persons Resident","Number","6451"
"Temporary private","Munster","1996","Number of Households","Number","2274"
"Temporary private","Munster","1996","Number of Persons Resident","Number","6094"
"Temporary private","Munster","2002","Number of Households","Number","2223"
"Temporary private","Munster","2002","Number of Persons Resident","Number","5124"
"Temporary private","Munster","2006","Number of Households","Number","1928"
"Temporary private","Munster","2006","Number of Persons Resident","Number","4280"
"Temporary private","Munster","2011","Number of Households","Number","1342"
"Temporary private","Munster","2011","Number of Persons Resident","Number","2796"
"Temporary private","Munster","2016","Number of Households","Number","1258"
"Temporary private","Munster","2016","Number of Persons Resident","Number","2764"
"Temporary private","Clare","1926","Number of Households","Number",""
"Temporary private","Clare","1926","Number of Persons Resident","Number",""
"Temporary private","Clare","1936","Number of Households","Number",""
"Temporary private","Clare","1936","Number of Persons Resident","Number",""
"Temporary private","Clare","1946","Number of Households","Number",""
"Temporary private","Clare","1946","Number of Persons Resident","Number",""
"Temporary private","Clare","1961","Number of Households","Number",""
"Temporary private","Clare","1961","Number of Persons Resident","Number",""
"Temporary private","Clare","1966","Number of Households","Number",""
"Temporary private","Clare","1966","Number of Persons Resident","Number",""
"Temporary private","Clare","1971","Number of Households","Number","112"
"Temporary private","Clare","1971","Number of Persons Resident","Number","447"
"Temporary private","Clare","1979","Number of Households","Number","120"
"Temporary private","Clare","1979","Number of Persons Resident","Number","375"
"Temporary private","Clare","1981","Number of Households","Number","285"
"Temporary private","Clare","1981","Number of Persons Resident","Number","844"
"Temporary private","Clare","1986","Number of Households","Number","258"
"Temporary private","Clare","1986","Number of Persons Resident","Number","717"
"Temporary private","Clare","1991","Number of Households","Number","212"
"Temporary private","Clare","1991","Number of Persons Resident","Number","606"
"Temporary private","Clare","1996","Number of Households","Number","260"
"Temporary private","Clare","1996","Number of Persons Resident","Number","733"
"Temporary private","Clare","2002","Number of Households","Number","239"
"Temporary private","Clare","2002","Number of Persons Resident","Number","613"
"Temporary private","Clare","2006","Number of Households","Number","184"
"Temporary private","Clare","2006","Number of Persons Resident","Number","404"
"Temporary private","Clare","2011","Number of Households","Number","114"
"Temporary private","Clare","2011","Number of Persons Resident","Number","188"
"Temporary private","Clare","2016","Number of Households","Number","121"
"Temporary private","Clare","2016","Number of Persons Resident","Number","235"
"Temporary private","Cork","1926","Number of Households","Number",""
"Temporary private","Cork","1926","Number of Persons Resident","Number",""
"Temporary private","Cork","1936","Number of Households","Number",""
"Temporary private","Cork","1936","Number of Persons Resident","Number",""
"Temporary private","Cork","1946","Number of Households","Number",""
"Temporary private","Cork","1946","Number of Persons Resident","Number",""
"Temporary private","Cork","1961","Number of Households","Number",""
"Temporary private","Cork","1961","Number of Persons Resident","Number",""
"Temporary private","Cork","1966","Number of Households","Number",""
"Temporary private","Cork","1966","Number of Persons Resident","Number",""
"Temporary private","Cork","1971","Number of Households","Number","370"
"Temporary private","Cork","1971","Number of Persons Resident","Number","1278"
"Temporary private","Cork","1979","Number of Households","Number","695"
"Temporary private","Cork","1979","Number of Persons Resident","Number","1853"
"Temporary private","Cork","1981","Number of Households","Number","1246"
"Temporary private","Cork","1981","Number of Persons Resident","Number","3304"
"Temporary private","Cork","1986","Number of Households","Number","883"
"Temporary private","Cork","1986","Number of Persons Resident","Number","2284"
"Temporary private","Cork","1991","Number of Households","Number","781"
"Temporary private","Cork","1991","Number of Persons Resident","Number","2020"
"Temporary private","Cork","1996","Number of Households","Number","708"
"Temporary private","Cork","1996","Number of Persons Resident","Number","1885"
"Temporary private","Cork","2002","Number of Households","Number","766"
"Temporary private","Cork","2002","Number of Persons Resident","Number","1720"
"Temporary private","Cork","2006","Number of Households","Number","692"
"Temporary private","Cork","2006","Number of Persons Resident","Number","1429"
"Temporary private","Cork","2011","Number of Households","Number","464"
"Temporary private","Cork","2011","Number of Persons Resident","Number","878"
"Temporary private","Cork","2016","Number of Households","Number","431"
"Temporary private","Cork","2016","Number of Persons Resident","Number","913"
"Temporary private","Cork City","1926","Number of Households","Number",""
"Temporary private","Cork City","1926","Number of Persons Resident","Number",""
"Temporary private","Cork City","1936","Number of Households","Number",""
"Temporary private","Cork City","1936","Number of Persons Resident","Number",""
"Temporary private","Cork City","1946","Number of Households","Number",""
"Temporary private","Cork City","1946","Number of Persons Resident","Number",""
"Temporary private","Cork City","1961","Number of Households","Number",""
"Temporary private","Cork City","1961","Number of Persons Resident","Number",""
"Temporary private","Cork City","1966","Number of Households","Number",""
"Temporary private","Cork City","1966","Number of Persons Resident","Number",""
"Temporary private","Cork City","1971","Number of Households","Number","36"
"Temporary private","Cork City","1971","Number of Persons Resident","Number","231"
"Temporary private","Cork City","1979","Number of Households","Number","35"
"Temporary private","Cork City","1979","Number of Persons Resident","Number","115"
"Temporary private","Cork City","1981","Number of Households","Number","54"
"Temporary private","Cork City","1981","Number of Persons Resident","Number","221"
"Temporary private","Cork City","1986","Number of Households","Number","70"
"Temporary private","Cork City","1986","Number of Persons Resident","Number","358"
"Temporary private","Cork City","1991","Number of Households","Number","85"
"Temporary private","Cork City","1991","Number of Persons Resident","Number","348"
"Temporary private","Cork City","1996","Number of Households","Number","96"
"Temporary private","Cork City","1996","Number of Persons Resident","Number","473"
"Temporary private","Cork City","2002","Number of Households","Number","95"
"Temporary private","Cork City","2002","Number of Persons Resident","Number","422"
"Temporary private","Cork City","2006","Number of Households","Number","68"
"Temporary private","Cork City","2006","Number of Persons Resident","Number","231"
"Temporary private","Cork City","2011","Number of Households","Number","53"
"Temporary private","Cork City","2011","Number of Persons Resident","Number","227"
"Temporary private","Cork City","2016","Number of Households","Number","41"
"Temporary private","Cork City","2016","Number of Persons Resident","Number","178"
"Temporary private","Cork County","1926","Number of Households","Number",""
"Temporary private","Cork County","1926","Number of Persons Resident","Number",""
"Temporary private","Cork County","1936","Number of Households","Number",""
"Temporary private","Cork County","1936","Number of Persons Resident","Number",""
"Temporary private","Cork County","1946","Number of Households","Number",""
"Temporary private","Cork County","1946","Number of Persons Resident","Number",""
"Temporary private","Cork County","1961","Number of Households","Number",""
"Temporary private","Cork County","1961","Number of Persons Resident","Number",""
"Temporary private","Cork County","1966","Number of Households","Number",""
"Temporary private","Cork County","1966","Number of Persons Resident","Number",""
"Temporary private","Cork County","1971","Number of Households","Number","334"
"Temporary private","Cork County","1971","Number of Persons Resident","Number","1047"
"Temporary private","Cork County","1979","Number of Households","Number","660"
"Temporary private","Cork County","1979","Number of Persons Resident","Number","1738"
"Temporary private","Cork County","1981","Number of Households","Number","1192"
"Temporary private","Cork County","1981","Number of Persons Resident","Number","3083"
"Temporary private","Cork County","1986","Number of Households","Number","813"
"Temporary private","Cork County","1986","Number of Persons Resident","Number","1926"
"Temporary private","Cork County","1991","Number of Households","Number","696"
"Temporary private","Cork County","1991","Number of Persons Resident","Number","1672"
"Temporary private","Cork County","1996","Number of Households","Number","612"
"Temporary private","Cork County","1996","Number of Persons Resident","Number","1412"
"Temporary private","Cork County","2002","Number of Households","Number","671"
"Temporary private","Cork County","2002","Number of Persons Resident","Number","1298"
"Temporary private","Cork County","2006","Number of Households","Number","624"
"Temporary private","Cork County","2006","Number of Persons Resident","Number","1198"
"Temporary private","Cork County","2011","Number of Households","Number","411"
"Temporary private","Cork County","2011","Number of Persons Resident","Number","651"
"Temporary private","Cork County","2016","Number of Households","Number","390"
"Temporary private","Cork County","2016","Number of Persons Resident","Number","735"
"Temporary private","Kerry","1926","Number of Households","Number",""
"Temporary private","Kerry","1926","Number of Persons Resident","Number",""
"Temporary private","Kerry","1936","Number of Households","Number",""
"Temporary private","Kerry","1936","Number of Persons Resident","Number",""
"Temporary private","Kerry","1946","Number of Households","Number",""
"Temporary private","Kerry","1946","Number of Persons Resident","Number",""
"Temporary private","Kerry","1961","Number of Households","Number",""
"Temporary private","Kerry","1961","Number of Persons Resident","Number",""
"Temporary private","Kerry","1966","Number of Households","Number",""
"Temporary private","Kerry","1966","Number of Persons Resident","Number",""
"Temporary private","Kerry","1971","Number of Households","Number","151"
"Temporary private","Kerry","1971","Number of Persons Resident","Number","520"
"Temporary private","Kerry","1979","Number of Households","Number","371"
"Temporary private","Kerry","1979","Number of Persons Resident","Number","993"
"Temporary private","Kerry","1981","Number of Households","Number","699"
"Temporary private","Kerry","1981","Number of Persons Resident","Number","1851"
"Temporary private","Kerry","1986","Number of Households","Number","529"
"Temporary private","Kerry","1986","Number of Persons Resident","Number","1088"
"Temporary private","Kerry","1991","Number of Households","Number","486"
"Temporary private","Kerry","1991","Number of Persons Resident","Number","972"
"Temporary private","Kerry","1996","Number of Households","Number","459"
"Temporary private","Kerry","1996","Number of Persons Resident","Number","919"
"Temporary private","Kerry","2002","Number of Households","Number","462"
"Temporary private","Kerry","2002","Number of Persons Resident","Number","839"
"Temporary private","Kerry","2006","Number of Households","Number","367"
"Temporary private","Kerry","2006","Number of Persons Resident","Number","658"
"Temporary private","Kerry","2011","Number of Households","Number","218"
"Temporary private","Kerry","2011","Number of Persons Resident","Number","336"
"Temporary private","Kerry","2016","Number of Households","Number","205"
"Temporary private","Kerry","2016","Number of Persons Resident","Number","314"
"Temporary private","Limerick","1926","Number of Households","Number",""
"Temporary private","Limerick","1926","Number of Persons Resident","Number",""
"Temporary private","Limerick","1936","Number of Households","Number",""
"Temporary private","Limerick","1936","Number of Persons Resident","Number",""
"Temporary private","Limerick","1946","Number of Households","Number",""
"Temporary private","Limerick","1946","Number of Persons Resident","Number",""
"Temporary private","Limerick","1961","Number of Households","Number",""
"Temporary private","Limerick","1961","Number of Persons Resident","Number",""
"Temporary private","Limerick","1966","Number of Households","Number",""
"Temporary private","Limerick","1966","Number of Persons Resident","Number",""
"Temporary private","Limerick","1971","Number of Households","Number","147"
"Temporary private","Limerick","1971","Number of Persons Resident","Number","623"
"Temporary private","Limerick","1979","Number of Households","Number","394"
"Temporary private","Limerick","1979","Number of Persons Resident","Number","1266"
"Temporary private","Limerick","1981","Number of Households","Number","770"
"Temporary private","Limerick","1981","Number of Persons Resident","Number","2461"
"Temporary private","Limerick","1986","Number of Households","Number","573"
"Temporary private","Limerick","1986","Number of Persons Resident","Number","1818"
"Temporary private","Limerick","1991","Number of Households","Number","400"
"Temporary private","Limerick","1991","Number of Persons Resident","Number","1311"
"Temporary private","Limerick","1996","Number of Households","Number","299"
"Temporary private","Limerick","1996","Number of Persons Resident","Number","997"
"Temporary private","Limerick","2002","Number of Households","Number","280"
"Temporary private","Limerick","2002","Number of Persons Resident","Number","860"
"Temporary private","Limerick","2006","Number of Households","Number","269"
"Temporary private","Limerick","2006","Number of Persons Resident","Number","810"
"Temporary private","Limerick","2011","Number of Households","Number","228"
"Temporary private","Limerick","2011","Number of Persons Resident","Number","658"
"Temporary private","Limerick","2016","Number of Households","Number","202"
"Temporary private","Limerick","2016","Number of Persons Resident","Number","585"
"Temporary private","Limerick City","1926","Number of Households","Number",""
"Temporary private","Limerick City","1926","Number of Persons Resident","Number",""
"Temporary private","Limerick City","1936","Number of Households","Number",""
"Temporary private","Limerick City","1936","Number of Persons Resident","Number",""
"Temporary private","Limerick City","1946","Number of Households","Number",""
"Temporary private","Limerick City","1946","Number of Persons Resident","Number",""
"Temporary private","Limerick City","1961","Number of Households","Number",""
"Temporary private","Limerick City","1961","Number of Persons Resident","Number",""
"Temporary private","Limerick City","1966","Number of Households","Number",""
"Temporary private","Limerick City","1966","Number of Persons Resident","Number",""
"Temporary private","Limerick City","1971","Number of Households","Number","25"
"Temporary private","Limerick City","1971","Number of Persons Resident","Number","156"
"Temporary private","Limerick City","1979","Number of Households","Number","27"
"Temporary private","Limerick City","1979","Number of Persons Resident","Number","121"
"Temporary private","Limerick City","1981","Number of Households","Number","62"
"Temporary private","Limerick City","1981","Number of Persons Resident","Number","303"
"Temporary private","Limerick City","1986","Number of Households","Number","49"
"Temporary private","Limerick City","1986","Number of Persons Resident","Number","281"
"Temporary private","Limerick City","1991","Number of Households","Number","44"
"Temporary private","Limerick City","1991","Number of Persons Resident","Number","224"
"Temporary private","Limerick City","1996","Number of Households","Number","46"
"Temporary private","Limerick City","1996","Number of Persons Resident","Number","279"
"Temporary private","Limerick City","2002","Number of Households","Number","43"
"Temporary private","Limerick City","2002","Number of Persons Resident","Number","162"
"Temporary private","Limerick City","2006","Number of Households","Number","37"
"Temporary private","Limerick City","2006","Number of Persons Resident","Number","166"
"Temporary private","Limerick City","2011","Number of Households","Number","67"
"Temporary private","Limerick City","2011","Number of Persons Resident","Number","251"
"Temporary private","Limerick City","2016","Number of Households","Number","61"
"Temporary private","Limerick City","2016","Number of Persons Resident","Number","271"
"Temporary private","Limerick County","1926","Number of Households","Number",""
