Year,Industry,County,WorkingPopulation,Population,EarningsEuro,pctIndustryEmployement
2011,Wholesale and retail trade,Kilkenny,5485.0,95419.0,2097.65,5.748331045179681
2016,Wholesale and retail trade,Kilkenny,5423.0,99232.0,2433.84,5.4649709771041595
2002,Wholesale and retail trade,Laois,3224.0,58774.0,1080.46,5.4854187225643996
2006,Wholesale and retail trade,Laois,4088.0,67059.0,1622.99,6.096124308444803
2011,Wholesale and retail trade,Laois,4765.0,80559.0,1773.75,5.914919499993793
2016,Wholesale and retail trade,Laois,4972.0,84697.0,1965.76,5.870337792365727
2002,Wholesale and retail trade,Longford,1407.0,31068.0,575.99,4.528775589030514
2006,Wholesale and retail trade,Longford,1776.0,34391.0,823.53,5.1641417812799855
2011,Wholesale and retail trade,Longford,2135.0,39000.0,819.22,5.4743589743589745
2016,Wholesale and retail trade,Longford,2277.0,40873.0,900.29,5.570914784821276
2002,Wholesale and retail trade,Louth,6000.0,101821.0,2135.75,5.892694041504208
2006,Wholesale and retail trade,Louth,7521.0,111267.0,2819.45,6.75941653859635
2011,Wholesale and retail trade,Louth,8021.0,122897.0,2792.38,6.526603578606475
2016,Wholesale and retail trade,Louth,8012.0,128884.0,3169.29,6.216442692653859
2002,Wholesale and retail trade,Meath,8053.0,134005.0,2760.13,6.009477258311257
2006,Wholesale and retail trade,Meath,10953.0,162831.0,4547.05,6.726606113086575
2011,Wholesale and retail trade,Meath,11836.0,184135.0,4517.75,6.427892578814457
2016,Wholesale and retail trade,Meath,11947.0,195044.0,5326.35,6.125284551178196
2002,Wholesale and retail trade,Offaly,3236.0,63663.0,1153.52,5.083015252187298
2006,Wholesale and retail trade,Offaly,4195.0,70868.0,1696.29,5.919455889823333
2011,Wholesale and retail trade,Offaly,4218.0,76687.0,1566.91,5.500280360426148
2016,Wholesale and retail trade,Offaly,4198.0,77961.0,1738.22,5.384743653878221
2002,Wholesale and retail trade,Westmeath,3967.0,71858.0,1416.39,5.520610092126137
2006,Wholesale and retail trade,Westmeath,4837.0,79346.0,1922.68,6.096085498953949
2011,Wholesale and retail trade,Westmeath,5105.0,86164.0,1910.08,5.92474815468177
2016,Wholesale and retail trade,Westmeath,5154.0,88770.0,2135.55,5.806015545792498
2002,Wholesale and retail trade,Wexford,6840.0,116596.0,2100.64,5.866410511509828
2006,Wholesale and retail trade,Wexford,8347.0,131749.0,3148.13,6.335531958496839
2011,Wholesale and retail trade,Wexford,8643.0,145320.0,3144.64,5.947563996696944
2016,Wholesale and retail trade,Wexford,8701.0,149722.0,3534.74,5.811437196938326
2002,Wholesale and retail trade,Wicklow,6771.0,114676.0,2469.38,5.904461264780774
2006,Wholesale and retail trade,Wicklow,7685.0,126194.0,3464.61,6.089829944371364
2011,Wholesale and retail trade,Wicklow,8057.0,136640.0,3431.16,5.8965163934426235
2016,Wholesale and retail trade,Wicklow,8140.0,142425.0,4058.4,5.715288748464104
2002,Wholesale and retail trade,Clare,4755.0,103277.0,1981.22,4.604122892802851
2006,Wholesale and retail trade,Clare,5636.0,110950.0,2675.52,5.0797656602073005
2011,Wholesale and retail trade,Clare,5621.0,117196.0,2658.28,4.796238779480529
2016,Wholesale and retail trade,Clare,5523.0,118817.0,3004.26,4.648324734676015
2002,Wholesale and retail trade,Cork,25568.0,447829.0,9049.27,5.709322084992262
2006,Wholesale and retail trade,Cork,29756.0,481295.0,12537.3,6.1824868324000875
2011,Wholesale and retail trade,Cork,30542.0,519032.0,12829.17,5.884415604432867
2016,Wholesale and retail trade,Cork,30849.0,542868.0,14725.07,5.6825968743783015
2002,Wholesale and retail trade,Kerry,6721.0,132527.0,2238.72,5.0714194088751725
2006,Wholesale and retail trade,Kerry,8087.0,139835.0,3119.66,5.783244538205742
2011,Wholesale and retail trade,Kerry,8300.0,145502.0,3087.22,5.704388943107311
2016,Wholesale and retail trade,Kerry,8250.0,147707.0,3612.05,5.585381870865971
2002,Wholesale and retail trade,Limerick,9097.0,175304.0,3478.86,5.189271208871446
2006,Wholesale and retail trade,Limerick,10688.0,184055.0,4723.34,5.806959876123985
2011,Wholesale and retail trade,Limerick,10865.0,191809.0,5117.08,5.664489153272266
2016,Wholesale and retail trade,Limerick,10567.0,194899.0,5940.79,5.421782564302536
2002,Wholesale and retail trade,Tipperary,7582.0,140131.0,2636.1,5.410651461846415
2006,Wholesale and retail trade,Tipperary,8774.0,149244.0,3738.82,5.878963308407708
2011,Wholesale and retail trade,Tipperary,9026.0,158754.0,3557.11,5.685526033989695
2016,Wholesale and retail trade,Tipperary,8731.0,159553.0,4015.79,5.47216285497609
2002,Wholesale and retail trade,Waterford,5146.0,101546.0,2079.25,5.067654068107065
2006,Wholesale and retail trade,Waterford,5905.0,107961.0,2738.67,5.469567714267189
2011,Wholesale and retail trade,Waterford,6012.0,113795.0,2621.92,5.283184674194824
2016,Wholesale and retail trade,Waterford,6063.0,116176.0,2949.46,5.21880594959372
2002,Wholesale and retail trade,Galway,10363.0,209077.0,3864.7,4.95654710943815
2006,Wholesale and retail trade,Galway,12474.0,231670.0,5658.09,5.384382958518582
2011,Wholesale and retail trade,Galway,13428.0,250653.0,5781.47,5.357206975380307
2016,Wholesale and retail trade,Galway,13311.0,258058.0,6649.36,5.158142743104263
2002,Wholesale and retail trade,Leitrim,1075.0,25799.0,445.61,4.16682817163456
2006,Wholesale and retail trade,Leitrim,1351.0,28950.0,671.98,4.666666666666667
2011,Wholesale and retail trade,Leitrim,1538.0,31798.0,722.52,4.836782187558966
2016,Wholesale and retail trade,Leitrim,1534.0,32044.0,758.26,4.787167644488828
2002,Wholesale and retail trade,Mayo,5963.0,117446.0,2069.46,5.077226980910376
2006,Wholesale and retail trade,Mayo,7035.0,123839.0,2794.7,5.680762926057219
2011,Wholesale and retail trade,Mayo,7675.0,130638.0,2813.34,5.8750133957960164
2016,Wholesale and retail trade,Mayo,7400.0,130507.0,3021.68,5.6701939359574585
2002,Wholesale and retail trade,Roscommon,2703.0,53774.0,967.07,5.026592777178562
2006,Wholesale and retail trade,Roscommon,3360.0,58768.0,1381.36,5.717397222978492
2011,Wholesale and retail trade,Roscommon,3660.0,64065.0,1364.72,5.712947787403419
2016,Wholesale and retail trade,Roscommon,3585.0,64544.0,1482.21,5.554350520575111
2002,Wholesale and retail trade,Sligo,2863.0,58200.0,1068.23,4.919243986254296
2006,Wholesale and retail trade,Sligo,3443.0,60894.0,1494.86,5.654087430617138
2011,Wholesale and retail trade,Sligo,3528.0,65393.0,1482.28,5.3950728671264505
2016,Wholesale and retail trade,Sligo,3291.0,65535.0,1600.14,5.021744106202792
2002,Wholesale and retail trade,Cavan,2695.0,56546.0,990.59,4.766031195840554
2006,Wholesale and retail trade,Cavan,3596.0,64003.0,1472.28,5.6184866334390575
2011,Wholesale and retail trade,Cavan,3758.0,73183.0,1540.72,5.135072352868836
2016,Wholesale and retail trade,Cavan,3965.0,76176.0,1752.67,5.205051459777358
2002,Wholesale and retail trade,Donegal,6429.0,137575.0,2111.18,4.67308740686898
2006,Wholesale and retail trade,Donegal,7730.0,147264.0,2941.41,5.249076488483269
2011,Wholesale and retail trade,Donegal,7896.0,161137.0,3104.24,4.900178109310711
